outbreakId,reportId,diseaseName,diseaseType,startDate,endDate,totalCases,locationName,species,animalCategoryLabel,latitude,longitude,animalCategory
90315,3496,empty strain - H5N1 (HPAI),,25/02/2021,8/02/2023,25,Tidi Pimpalgaon/ Selu,Birds,Domestic,19.3579,76.4392,domestic
97556,4171,empty strain - H5N1 (HPAI),,1/12/2021,21/12/2023,5319,Kallara Panchayat Vendhakary Kizhakkechira,Birds,Domestic,9.723821,76.4415,domestic
112126,4701,H5N1 (HPAI),,25/10/2022,24/10/2023,6000,"Ward No. 1, Cheruthana Village, Cheruthanna Panchayath Karthikapally ",Birds,Domestic,9.34139,76.4424,domestic
144545,5685,H5N1 (HPAI),,9/05/2024,19/05/2025,6000,"Ward 13, Thalvady Panchayat",Birds,Domestic,9.44403,76.444133,domestic
134795,5685,H5N1 (HPAI),,9/04/2024,19/05/2025,9000,"Ward 1 Edathua, Champakulam",Birds,Domestic,9.411045,76.447921,domestic
134796,5685,H5N1 (HPAI),,11/04/2024,19/05/2025,11000,Ward 3 Cheruthana,Birds,Domestic,9.324581,76.452046,domestic
97663,4171,empty strain - H5N1 (HPAI),,3/12/2021,21/12/2023,5185,Ward No. 3 Cheruthana,Birds,Domestic,9.32432,76.45214,domestic
112174,4701,H5N1 (HPAI),,22/12/2022,24/10/2023,2232,Ward No.1 Kallara Kuduthuruthy ,Birds,Domestic,9.7191,76.4572,domestic
126628,4701,H5N1 (HPAI),,9/01/2023,24/10/2023,43,"Ward 11 Kavalam, Vellyanad",Birds,Domestic,9.47033,76.457405,domestic
97672,4171,empty strain - H5N1 (HPAI),,31/12/2021,21/12/2023,2270,"Nalupadam, Ambalapuzha(N)",Birds,Domestic,9.30654,76.4685,domestic
90084,3496,empty strain - H5N1 (HPAI),,15/01/2021,8/02/2023,68,Warwati,Birds,Domestic,18.785,76.4691,domestic
134800,5685,H5N1 (HPAI),,21/04/2024,19/05/2025,3500,"Ward 10 Edathua, Champakulam",Birds,Domestic,9.34491,76.46914,domestic
108598,4701,H5N1 (HPAI),,17/10/2022,24/10/2023,6500,"Vazhuthanam Pandinjaru Ward 9 Chirakkil Kuzhi, Padasekharam, Hapipad",Birds,Domestic,9.306458,76.469252,domestic
90055,3496,empty strain - H5N1 (HPAI),,11/01/2021,8/02/2023,285,Khurdwadi,Birds,Domestic,18.2716,76.4708,domestic
112173,4701,H5N1 (HPAI),,19/12/2022,24/10/2023,97,"Ward No.13 Viruppukala Padam, Neendoor ",Birds,Domestic,9.6695,76.4767,domestic
97553,4171,empty strain - H5N1 (HPAI),,1/12/2021,21/12/2023,2083,"Vidynathan, Aymanam Panchayat, Ikarashala Paadashekharam",Birds,Domestic,9.625587,76.478303,domestic
97555,4171,empty strain - H5N1 (HPAI),,1/12/2021,21/12/2023,775,"R Raghu, Ayamanam Panchayat, Ikarashala Paadashekharam",Birds,Domestic,9.625587,76.478303,domestic
80202,3477,H5N8 (HPAI),,21/12/2020,21/12/2023,8140,Pallippad,Birds,Domestic,9.2804,76.4819,domestic
108596,4701,H5N1 (HPAI),,16/10/2022,24/10/2023,6000,"Vazhuthanam Vadakku, Ward 9 Thamarapalladi Padasekharam, Haripad",Birds,Domestic,9.305932,76.481955,domestic
144550,5685,H5N1 (HPAI),,8/05/2024,19/05/2025,38,"Ward-3, Champakulam",Birds,Domestic,9.354627,76.484401,domestic
112169,4701,H5N1 (HPAI),,8/12/2022,24/10/2023,865,"Ward No. 2, Payavattam Padam, Arpookkara",Birds,Domestic,9.6468,76.4868,domestic
112175,4701,H5N1 (HPAI),,30/12/2022,24/10/2023,529,"Ward No.2 Karippurath House Kattikunnu, Chembu, Viakom ",Birds,Domestic,9.6397,76.4895,domestic
33579,1671,H5N1 (HPAI),,11/12/2014,19/03/2015,22,Sukhna lake,Birds,Domestic,30.44,76.49,domestic
112171,4701,H5N1 (HPAI),,16/12/2022,24/10/2023,371,"Ward No.2 Makothara Padam, Arpookkara",Birds,Domestic,9.6486,76.4984,domestic
80209,3477,H5N8 (HPAI),,28/12/2020,21/12/2023,1770,Neendoor,Birds,Domestic,9.671296,76.4984606,domestic
90076,3496,empty strain - H5N1 (HPAI),,15/01/2021,8/02/2023,8,"Davangaon, Renapur",Birds,Domestic,18.5916,76.5011,domestic
134799,5685,H5N1 (HPAI),,21/04/2024,19/05/2025,6471,"Ward-20, Odetty South Padasekharam, Vazhapally",Birds,Domestic,9.44698,76.50346,domestic
63676,2910,Red sea bream iridoviral disease,Diseases of fish,18/01/2018,3/02/2019,5000,"Seetha River Estuary, Haradi",Lates calcarifer,Domestic,13.4358,74.7167,domestic
63984,2924,Tilapia lake virus (TiLV) disease,,27/07/2016,21/06/2019,4000,Mahakaltala,Oreochromis spp,Domestic,22.8172,88.4181,domestic
63985,2924,Tilapia lake virus (TiLV) disease,,3/07/2017,21/06/2019,12000,East Kolkata wetland,Oreochromis spp,Domestic,22.53361,88.44166,domestic
63986,2924,Tilapia lake virus (TiLV) disease,,27/07/2017,21/06/2019,6000,Ernakulam,Oreochromis spp,Domestic,9.12211,76.48255,domestic
67735,3063,Lumpy skin disease,Bovidae,12/08/2019,20/07/2023,9,Khairbani,Cattle,Domestic,21.585458,86.91667,domestic
67736,3063,Lumpy skin disease,Bovidae,17/08/2019,20/07/2023,20,Patalipura,Cattle,Domestic,21.636522,86.857682,domestic
67737,3063,Lumpy skin disease,Bovidae,20/08/2019,20/07/2023,50,Rajendrapur,Cattle,Domestic,20.9605,86.3711,domestic
144557,5685,H5N1 (HPAI),,23/05/2024,19/05/2025,10028,"Ettiyakari Padam, Ward-1, Paippad",Birds,Domestic,9.4074472,76.5112216,domestic
126630,4701,H5N1 (HPAI),,18/01/2023,24/10/2023,709,"ICAR-KVK, Alappuzha, CPCRI, Kayamlulam",Birds,Domestic,9.1482,76.5134,domestic
144543,5685,H5N1 (HPAI),,2/05/2024,19/05/2025,346,"Government Duck Farm Ward-6, Niranam ",Birds,Domestic,9.3426,76.5137,domestic
90313,3496,empty strain - H5N1 (HPAI),,20/02/2021,8/02/2023,300,"Ramewadi, Parli",Birds,Domestic,18.8527,76.5251,domestic
126629,4701,H5N1 (HPAI),,12/01/2023,24/10/2023,13,"Ward 2, Nedumpuram",Birds,Domestic,9.374,76.5294,domestic
72544,3190,African swine fever,Suidae,24/02/2020,30/06/2023,1897,Pipolguri,Swine,Domestic,27.4299,94.6863,domestic
72545,3190,African swine fever,Suidae,7/03/2020,30/06/2023,163,Kotiyori,Swine,Domestic,27.2036,94.6824,domestic
72546,3190,African swine fever,Suidae,20/03/2020,30/06/2023,317,Bor-Tamuli-II,Swine,Domestic,26.8005,93.6421,domestic
72547,3190,African swine fever,Suidae,23/03/2020,30/06/2023,326,Khelowa,Swine,Domestic,26.988,94.7282,domestic
72548,3190,African swine fever,Suidae,2/04/2020,30/06/2023,22,Gorchuk,Swine,Domestic,26.1051,91.7121,domestic
72549,3190,African swine fever,Suidae,2/04/2020,30/06/2023,62,Nitai-pukhuri,Swine,Domestic,27.2393,94.7364,domestic
72550,3190,African swine fever,Suidae,10/04/2020,30/06/2023,956,Bormukoli,Swine,Domestic,26.7623,94.0069,domestic
72830,3190,African swine fever,Suidae,26/01/2020,30/06/2023,123,Bamin,Swine,Domestic,27.5636,95.1122,domestic
72831,3190,African swine fever,Suidae,26/01/2020,30/06/2023,165,Pasighat Town,Swine,Domestic,28.0343,94.1933,domestic
72832,3190,African swine fever,Suidae,26/01/2020,30/06/2023,156,"Huchang, Damsite",Swine,Domestic,27.0544,93.4225,domestic
72833,3190,African swine fever,Suidae,23/04/2020,30/06/2023,12,"D-Sector, Nirjuli",Swine,Domestic,27.0812,93.4535,domestic
126633,4701,H5N1 (HPAI),,20/01/2023,24/10/2023,2,"Ward 14 Kochuparambil, Kavanady",Birds,Domestic,9.515615,76.535319,domestic
126635,4701,H5N1 (HPAI),,24/01/2023,24/10/2023,4,Ward 9 Nedumpuram,Birds,Domestic,9.36385,76.56018,domestic
144566,5685,H5N1 (HPAI),,6/06/2024,19/05/2025,156,"Ward-2, Chumathra",Birds,Domestic,9.410551,76.569621,domestic
126631,4701,H5N1 (HPAI),,18/01/2023,24/10/2023,20,Ward 34 Thiruvalla,Birds,Domestic,9.3827475,76.570442,domestic
126632,4701,H5N1 (HPAI),,18/01/2023,24/10/2023,6,Ward No. 38 Thiruvalla Municipality,Birds,Domestic,9.39949,76.57128,domestic
126634,4701,H5N1 (HPAI),,24/01/2023,24/10/2023,25,Ward no. 24 Thuruvalla,Birds,Domestic,9.370921,76.572023,domestic
144553,5685,H5N1 (HPAI),,19/05/2024,19/05/2025,630,"Regional Poultry Farm, Ward-13, Manarcaud",Birds,Domestic,9.5831356,76.5829531,domestic
90047,3496,empty strain - H5N1 (HPAI),,11/01/2021,8/02/2023,7,"Kupta, Selu",Birds,Domestic,19.4464,76.6084,domestic
144546,5685,H5N1 (HPAI),,10/05/2024,19/05/2025,2000,"Ward-11, Thazhakkara",Birds,Domestic,9.215305,76.611319,domestic
73296,3206,H5N1 (HPAI),,12/03/2020,4/09/2020,16,Kumbarkoppalu,Birds,Domestic,12.346262,76.633219,domestic
154280,6366,empty strain - H5N1 (HPAI),,21/02/2025,10/07/2025,3420,"Regional Poultry Breeding & Training Centre, Kurikuppa",Birds,Domestic,15.214028,76.65661,domestic
90045,3496,empty strain - H5N1 (HPAI),,11/01/2021,8/02/2023,1,Pedgaon,Birds,Domestic,19.3144,76.6675,domestic
